Date,Not indexed,Indexed,Impressions
2025-07-14,,,0
2025-07-15,90,47,3
2025-07-16,92,46,1
2025-07-17,92,46,2
2025-07-18,92,46,0
2025-07-19,92,46,2
2025-07-20,94,45,3
2025-07-21,94,45,2
2025-07-22,94,45,1
2025-07-23,93,48,1
2025-07-24,93,48,4
2025-07-25,93,48,1
2025-07-26,93,48,9
2025-07-27,94,47,7
2025-07-28,94,47,2
2025-07-29,94,47,6
2025-07-30,94,47,6
2025-07-31,94,47,5
2025-08-01,94,47,19
2025-08-02,94,47,10
2025-08-03,95,48,7
2025-08-04,95,48,12
2025-08-05,95,48,14
2025-08-06,96,48,10
2025-08-07,96,48,3
2025-08-08,96,48,8
2025-08-09,96,48,7
2025-08-10,97,49,1
2025-08-11,97,49,5
2025-08-12,97,49,9
2025-08-13,96,51,17
2025-08-14,96,51,9
2025-08-15,96,51,9
2025-08-16,96,51,3
2025-08-17,97,52,9
2025-08-18,97,52,10
2025-08-19,97,52,9
2025-08-20,100,50,4
2025-08-21,100,50,7
2025-08-22,100,50,8
2025-08-23,100,50,11
2025-08-24,101,51,4
2025-08-25,101,51,9
2025-08-26,101,51,6
2025-08-27,105,50,24
2025-08-28,105,50,14
2025-08-29,105,50,11
2025-08-30,105,50,10
2025-08-31,105,50,10
2025-09-01,105,50,16
2025-09-02,105,50,14
2025-09-03,106,49,22
2025-09-04,106,49,17
2025-09-05,106,49,18
2025-09-06,106,49,15
2025-09-07,106,49,11
2025-09-08,106,49,16
2025-09-09,106,49,14
2025-09-10,105,50,17
2025-09-11,105,50,14
2025-09-12,105,50,11
2025-09-13,105,50,8
2025-09-14,105,50,19
2025-09-15,105,50,19
2025-09-16,105,50,18
2025-09-17,106,49,16
2025-09-18,106,49,55
2025-09-19,106,49,14
2025-09-20,106,49,9
2025-09-21,106,49,22
2025-09-22,106,49,15
2025-09-23,106,49,26
2025-09-24,106,49,17
2025-09-25,106,49,19
2025-09-26,106,49,24
2025-09-27,106,49,11
2025-09-28,108,47,11
2025-09-29,108,47,13
2025-09-30,108,47,20
2025-10-01,118,49,34
2025-10-02,118,49,30
2025-10-03,118,49,23
2025-10-04,118,49,18
2025-10-05,133,59,19
2025-10-06,133,59,19
2025-10-07,133,59,29
